Specialization,Case Type,Case Number,Lawyer ID,Win/Lose,Location,Price
Criminal Lawyer,Burglary,1011,1000,1,Supreme Court,880
Criminal Lawyer,Robbery,1012,1000,1,High Court,438
Criminal Lawyer,Assault,1039,1000,1,District Court,844
Criminal Lawyer,Robbery,1035,1000,0,Vilage Court,290
Criminal Lawyer,Assault,1019,1000,1,Supreme Court,767
Criminal Lawyer,Murder,1009,1000,0,High Court,676
Criminal Lawyer,Burglary,1030,1000,0,District Court,623
Criminal Lawyer,Robbery,1012,1000,1,Vilage Court,770
Criminal Lawyer,Drug,1015,1000,0,Supreme Court,512
Criminal Lawyer,Drug,1028,1000,1,High Court,322
Criminal Lawyer,Burglary,1021,1000,0,District Court,591
Criminal Lawyer,Assault,1039,1000,1,Vilage Court,445
Criminal Lawyer,Murder,1036,1000,1,Supreme Court,807
Criminal Lawyer,Drug,1028,1000,1,High Court,772
Criminal Lawyer,Murder,1037,1000,0,District Court,335
Criminal Lawyer,Drug,1015,1000,0,Vilage Court,367
Criminal Lawyer,Assault,1019,1000,1,Supreme Court,202
Criminal Lawyer,Robbery,1029,1000,1,High Court,507
Criminal Lawyer,Burglary,1013,1000,1,District Court,984
Criminal Lawyer,Robbery,1029,1000,1,Vilage Court,317
Criminal Lawyer,Robbery,1031,1000,1,Supreme Court,780
Criminal Lawyer,Assault,1032,1000,1,High Court,540
Criminal Lawyer,Drug,1015,1000,0,District Court,644
Criminal Lawyer,Drug,1017,1000,1,Vilage Court,868
Criminal Lawyer,Drug,1020,1000,1,Supreme Court,567
Criminal Lawyer,Robbery,1014,1000,0,High Court,356
Criminal Lawyer,Burglary,1011,1000,1,District Court,520
Criminal Lawyer,Assault,1024,1000,1,Vilage Court,1000
Criminal Lawyer,Burglary,1021,1000,0,Supreme Court,426
Criminal Lawyer,Murder,1038,1000,0,High Court,705
Criminal Lawyer,Assault,1039,1000,1,District Court,776
Criminal Lawyer,Drug,1015,1000,0,Vilage Court,285
Criminal Lawyer,Drug,1022,1000,0,Supreme Court,131
Criminal Lawyer,Burglary,1041,1000,0,High Court,750
Criminal Lawyer,Burglary,1021,1000,0,District Court,450
Criminal Lawyer,Assault,1007,1000,1,Vilage Court,303
Criminal Lawyer,Assault,1032,1000,1,Supreme Court,947
Criminal Lawyer,Assault,1024,1000,1,High Court,810
Criminal Lawyer,Burglary,1042,1000,0,District Court,163
Criminal Lawyer,Robbery,1026,1000,0,Vilage Court,785
Criminal Lawyer,Murder,1009,1000,0,Supreme Court,913
Criminal Lawyer,Robbery,1002,1000,1,High Court,124
Criminal Lawyer,Robbery,1026,1000,0,District Court,440
Criminal Lawyer,Murder,1009,1000,0,Vilage Court,270
Criminal Lawyer,Murder,1038,1000,0,Supreme Court,177
Criminal Lawyer,Robbery,1018,1000,1,High Court,830
Criminal Lawyer,Drug,1028,1000,1,District Court,217
Criminal Lawyer,Murder,1003,1000,0,Vilage Court,910
Criminal Lawyer,Burglary,1013,1000,1,Supreme Court,230
Criminal Lawyer,Murder,1004,1000,0,High Court,152
Criminal Lawyer,Robbery,1018,1000,1,District Court,747
Criminal Lawyer,Drug,1022,1000,0,Vilage Court,571
Criminal Lawyer,Murder,1003,1000,0,Supreme Court,581
Criminal Lawyer,Robbery,1014,1000,0,High Court,542
Criminal Lawyer,Robbery,1012,1000,1,District Court,649
Criminal Lawyer,Murder,1037,1000,0,Vilage Court,886
Criminal Lawyer,Murder,1043,1000,1,Supreme Court,134
Criminal Lawyer,Burglary,1042,1000,0,High Court,275
Criminal Lawyer,Assault,1010,1000,0,District Court,286
Criminal Lawyer,Assault,1006,1000,1,Vilage Court,943
Criminal Lawyer,Drug,1027,1000,0,Supreme Court,795
Criminal Lawyer,Assault,1007,1000,1,High Court,745
Criminal Lawyer,Burglary,1001,1000,1,District Court,961
Criminal Lawyer,Robbery,1014,1000,0,Vilage Court,622
Criminal Lawyer,Robbery,1002,1000,1,Supreme Court,383
Criminal Lawyer,Assault,1016,1000,0,High Court,164
Criminal Lawyer,Drug,1022,1000,0,District Court,907
Criminal Lawyer,Robbery,1031,1000,1,Vilage Court,972
Criminal Lawyer,Burglary,1021,1000,0,Supreme Court,259
Criminal Lawyer,Drug,1023,1000,0,High Court,749
Criminal Lawyer,Burglary,1030,1000,0,District Court,911
Criminal Lawyer,Murder,1037,1000,0,Vilage Court,870
Criminal Lawyer,Robbery,1026,1000,0,Supreme Court,541
Criminal Lawyer,Drug,1017,1000,1,High Court,578
Criminal Lawyer,Drug,1023,1000,0,District Court,504
Criminal Lawyer,Murder,1004,1000,0,Vilage Court,118
Criminal Lawyer,Murder,1033,1000,0,Supreme Court,722
Criminal Lawyer,Drug,1027,1000,0,High Court,286
Criminal Lawyer,Robbery,1012,1000,1,District Court,224
Criminal Lawyer,Assault,1007,1000,1,Vilage Court,209
Criminal Lawyer,Murder,1003,1000,0,Supreme Court,955
Criminal Lawyer,Murder,1033,1000,0,High Court,542
Criminal Lawyer,Burglary,1008,1000,0,District Court,145
Criminal Lawyer,Burglary,1001,1000,1,Vilage Court,238
Criminal Lawyer,Robbery,1035,1000,0,Supreme Court,367
Criminal Lawyer,Assault,1032,1000,1,High Court,710
Criminal Lawyer,Assault,1006,1000,1,District Court,794
Criminal Lawyer,Robbery,1002,1000,1,Vilage Court,564
