Specialization,Case Type,Case Number,Lawyer ID,Win/Lose,Location,Price
Criminal Lawyer,Assault,1016,1000,0,District Court,917
Tax Lawyer,TaxEvasion,1003,1018,1,Supreme Court,374
Tax Lawyer,IRSAudit,1009,1019,1,Vilage Court,980
Family Lawyer,Divorce,1019,1005,0,High Court,722
Immigration Lawyer,Asylum,1022,1008,1,District Court,337
Business Lawyer,IntellectualProperty,1040,1013,0,Supreme Court,284
Tax Lawyer,IRSAudit,1004,1018,1,Supreme Court,829
Tax Lawyer,IRSAudit,1039,1016,1,District Court,502
Business Lawyer,ContractDispute,1035,1013,1,High Court,733
Family Lawyer,Adoption,1028,1004,1,Supreme Court,479
Immigration Lawyer,Asylum,1036,1009,0,High Court,964
Tax Lawyer,TaxFraud,1020,1017,1,High Court,415
Business Lawyer,BusinessFraud,1028,1013,0,District Court,356
Business Lawyer,ContractDispute,1042,1014,1,District Court,128
Tax Lawyer,TaxEvasion,1030,1017,1,Supreme Court,861
Family Lawyer,Divorce,1014,1004,0,Supreme Court,100
Immigration Lawyer,Deportation,1031,1008,1,Vilage Court,311
Tax Lawyer,TaxEvasion,1006,1017,0,Supreme Court,985
Business Lawyer,IntellectualProperty,1004,1012,0,Supreme Court,967
Business Lawyer,IntellectualProperty,1004,1012,0,District Court,187
Criminal Lawyer,Robbery,1018,1000,1,District Court,483
Family Lawyer,Adoption,1008,1005,0,Vilage Court,108
Criminal Lawyer,Assault,1005,1001,1,District Court,254
Business Lawyer,ContractDispute,1053,1012,0,District Court,432
Business Lawyer,ContractDispute,1035,1014,1,High Court,463
Immigration Lawyer,Asylum,1010,1009,0,Vilage Court,406
Criminal Lawyer,Drug,1023,1001,0,Vilage Court,979
Tax Lawyer,IRSAudit,1014,1016,1,High Court,575
Criminal Lawyer,Drug,1017,1001,0,District Court,227
Business Lawyer,ContractDispute,1019,1014,0,Supreme Court,247
Family Lawyer,ChildCustody,1012,1006,0,High Court,328
Business Lawyer,IntellectualProperty,1002,1014,1,Vilage Court,942
Tax Lawyer,IRSAudit,1006,1019,1,Vilage Court,213
Criminal Lawyer,Murder,1003,1000,0,Supreme Court,757
Tax Lawyer,TaxEvasion,1014,1019,1,District Court,463
Immigration Lawyer,Asylum,1020,1008,0,Vilage Court,948
Business Lawyer,IntellectualProperty,1034,1013,0,Vilage Court,809
Criminal Lawyer,Assault,1006,1000,1,Vilage Court,838
Tax Lawyer,IRSAudit,1028,1017,1,High Court,872
Criminal Lawyer,Burglary,1007,1001,0,Vilage Court,770
Immigration Lawyer,Deportation,1015,1010,0,Supreme Court,117
Immigration Lawyer,Asylum,1009,1009,1,District Court,504
Immigration Lawyer,Deportation,1056,1010,1,Supreme Court,123
Immigration Lawyer,Deportation,1016,1009,1,Vilage Court,365
